,'Til There Was You (1997),9.0
1472,"Thieves (Voleurs, Les) (1996)",7.0
1473,"Thin Blue Line, The (1988)",35.0
1474,"Thin Line Between Love and Hate, A (1996)",12.0
1475,"Thin Man, The (1934)",60.0
1476,Things to Do in Denver when You're Dead (1995),71.0
1477,Thinner (1996),49.0
1478,"Third Man, The (1949)",72.0
1479,Thirty-Two Short Films About Glenn Gould (1993),18.0
1480,This Is Spinal Tap (1984),191.0
1481,"Thousand Acres, A (1997)",37.0
1482,"Three Caballeros, The (1945)",22.0
1483,Three Colors: Blue (1993),64.0
1484,Three Colors: Red (1994),83.0
1485,Three Colors: White (1994),59.0
1486,Three Lives and Only One Death (1996),1.0
1487,"Three Musketeers, The (1993)",89.0
1488,Three Wishes (1995),9.0
1489,Threesome (1994),31.0
1490,Tie Me Up! Tie Me Down! (1990),32.0
1491,"Tie That Binds, The (1995)",7.0
1492,Tigrero: A Film That Was Never Made (1994),1.0
1493,Time Tracers (1995),2.0
1494,"Time to Kill, A (1996)",232.0
1495,Timecop (1994),31.0
1496,Tin Cup (1996),193.0
1497,"Tin Drum, The (Blechtrommel, Die) (1979)",40.0
1498,Tin Men (1987),51.0
1499,Titanic (1997),350.0
1500,To Be or Not to Be (1942),18.0
1501,To Catch a Thief (1955),50.0
1502,To Cross the Rubicon (1991),1.0
1503,To Die For (1995),87.0
1504,To Gillian on Her 37th Birthday (1996),44.0
1505,"To Have, or Not (1995)",2.0
1506,To Kill a Mockingbird (1962),219.0
1507,To Live (Huozhe) (1994),14.0
1508,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",57.0
1509,Tokyo Fist (1995),1.0
1510,Tom & Viv (1994),9.0
1511,Tom and Huck (1995),12.0
1512,Tombstone (1993),108.0
1513,Tommy Boy (1995),66.0
1514,Tomorrow Never Dies (1997),180.0
1515,Top Gun (1986),220.0
1516,Top Hat (1935),21.0
1517,Total Eclipse (1995),4.0
1518,Touch (1997),9.0
1519,Touch of Evil (1958),34.0
1520,Tough and Deadly (1995),2.0
1521,Touki Bouki (Journey of the Hyena) (1973),1.0
1522,Toy Story (1995),452.0
1523,Trainspotting (1996),250.0
1524,"Transformers: The Movie, The (1986)",32.0
1525,Traveller (1997),13.0
1526,"Treasure of the Sierra Madre, The (1948)",80.0
1527,Trees Lounge (1996),50.0
1528,Trial and Error (1997),23.0
1529,Trial by Jury (1994),7.0
1530,"Trigger Effect, The (1996)",35.0
1531,True Crime (1995),9.0
1532,True Lies (1994),208.0
1533,True Romance (1993),104.0
1534,"Truman Show, The (1998)",11.0
1535,Trust (1990),19.0
1536,"Truth About Cats & Dogs, The (1996)",272.0
1537,"Truth or Consequences, N.M. (1997)",3.0
1538,Turbo: A Power Rangers Movie (1997),5.0
1539,Turbulence (1997),23.0
1540,"Turning, The (1992)",2.0
1541,Twelfth Night (1996),29.0
1542,Twelve Monkeys (1995),392.0
1543,Twilight (1998),4.0
1544,Twin Town (1997),6.0
1545,Twisted (1996),6.0
1546,Twister (1996),293.0
1547,Two Bits (1995),5.0
1548,Two Deaths (1995),4.0
1549,Two Friends (1986) ,1.0
1550,Two Much (1996),7.0
1551,Two if by Sea (1996),25.0
1552,Two or Three Things I Know About Her (1966),4.0
1553,U Turn (1997),64.0
1554,U.S. Marshalls (1998),9.0
1555,Ulee's Gold (1997),184.0
1556,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",21.0
1557,"Unbearable Lightness of Being, The (1988)",92.0
1558,Under Siege (1992),124.0
1559,Under Siege 2: Dark Territory (1995),48.0
1560,Underground (1995),5.0
1561,"Underneath, The (1995)",4.0
1562,Underworld (1997),4.0
1563,Unforgettable (1996),34.0
1564,Unforgiven (1992),182.0
1565,Unhook the Stars (1996),10.0
1566,Unstrung Heroes (1995),22.0
1567,Until the End of the World (Bis ans Ende der Welt) (1991),23.0
1568,Unzipped (1995),11.0
1569,Up Close and Personal (1996),85.0
1570,Up in Smoke (1978),47.0
1571,"Usual Suspects, The (1995)",267.0
1572,Vampire in Brooklyn (1995),12.0
1573,"Van, The (1996)",6.0
1574,Vanya on 42nd Street (1994),27.0
1575,Vegas Vacation (1997),75.0
1576,Venice/Venice (1992),2.0
1577,Vermin (1998),2.0
1578,Vermont Is For Lovers (1992),1.0
1579,Vertigo (1958),179.0
1580,"Very Brady Sequel, A (1996)",93.0
1581,"Very Natural Thing, A (1974)",1.0
1582,Victor/Victoria (1982),77.0
1583,"Vie est belle, La (Life is Rosey) (1987)",1.0
1584,Village of the Damned (1995),22.0
1585,Virtuosity (1995),38.0
1586,"Visitors, The (Visiteurs, Les) (1993)",2.0
1587,Volcano (1997),219.0
1588,Wag the Dog (1997),137.0
1589,Waiting for Guffman (1996),47.0
1590,Waiting to Exhale (1995),16.0
1591,"Walk in the Clouds, A (1995)",63.0
1592,"Walk in the Sun, A (1945)",1.0
1593,Walkabout (1971),26.0
1594,"Walking Dead, The (1995)",4.0
1595,Walking and Talking (1996),8.0
1596,Wallace & Gromit: The Best of Aardman Animation (1996),67.0
1597,"War Room, The (1993)",9.0
1598,"War at Home, The (1996)",1.0
1599,"War, The (1994)",15.0
1600,Warriors of Virtue (1997),10.0
1601,Washington Square (1997),34.0
1602,Waterworld (1995),102.0
1603,Wedding Bell Blues (1996),1.0
1604,"Wedding Gift, The (1994)",3.0
1605,"Wedding Singer, The (1998)",72.0
1606,Weekend at Bernie's (1989),60.0
1607,Welcome To Sarajevo (1997),22.0
1608,Welcome to the Dollhouse (1995),112.0
1609,Wend Kuuni (God's Gift) (1982),1.0
1610,Wes Craven's New Nightmare (1994),35.0
1611,What Happened Was... (1994),8.0
1612,What's Eating Gilbert Grape (1993),115.0
1613,What's Love Got to Do with It (1993),45.0
1614,When Harry Met Sally... (1989),290.0
1615,When Night Is Falling (1995),5.0
1616,When We Were Kings (1996),44.0
1617,When a Man Loves a Woman (1994),39.0
1618,When the Cats Away (Chacun cherche son chat) (1996),16.0
1619,While You Were Sleeping (1995),162.0
1620,"White Balloon, The (1995)",10.0
1621,White Man's Burden (1995),10.0
1622,White Squall (1996),85.0
1623,"Whole Wide World, The (1996)",6.0
1624,Widows' Peak (1994),19.0
1625,"Wife, The (1995)",1.0
1626,Wild America (1997),9.0
1627,Wild Bill (1995),12.0
1628,"Wild Bunch, The (1969)",43.0
1629,Wild Reeds (1994),14.0
1630,Wild Things (1998),11.0
1631,William Shakespeare's Romeo and Juliet (1996),106.0
1632,Willy Wonka and the Chocolate Factory (1971),326.0
1633,Window to Paris (1994),1.0
1634,Wings of Courage (1995),1.0
1635,Wings of Desire (1987),57.0
1636,"Wings of the Dove, The (1997)",75.0
1637,Winnie the Pooh and the Blustery Day (1968),75.0
1638,"Winter Guest, The (1997)",9.0
1639,Wishmaster (1997),27.0
1640,With Honors (1994),46.0
1641,Withnail and I (1987),13.0
1642,Witness (1985),1.0
1643,"Wizard of Oz, The (1939)",246.0
1644,Wolf (1994),67.0
1645,"Woman in Question, The (1950)",1.0
1646,"Women, The (1939)",15.0
1647,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",10.0
1648,Wonderland (1997),10.0
1649,"Wooden Man's Bride, The (Wu Kui) (1994)",3.0
1650,"World of Apu, The (Apur Sansar) (1959)",6.0
1651,"Wrong Trousers, The (1993)",118.0
1652,Wyatt Earp (1994),50.0
1653,Yankee Zulu (1994),1.0
1654,Year of the Horse (1997),7.0
1655,You So Crazy (1994),1.0
1656,Young Frankenstein (1974),200.0
1657,Young Guns (1988),101.0
1658,Young Guns II (1990),44.0
1659,"Young Poisoner's Handbook, The (1995)",41.0
1660,Zeus and Roxanne (1997),6.0
1661,unknown,9.0
1662,Á köldum klaka (Cold Fever) (1994),1.0
