,a,b,c,d
738,In the Line of Fire (1993),3.792899408284024,In the Line of Fire (1993),169.0
739,In the Mouth of Madness (1995),2.8846153846153846,In the Mouth of Madness (1995),26.0
740,In the Name of the Father (1993),3.9117647058823533,In the Name of the Father (1993),102.0
741,In the Realm of the Senses (Ai no corrida) (1976),2.0,In the Realm of the Senses (Ai no corrida) (1976),9.0
742,Incognito (1997),3.5,Incognito (1997),10.0
743,Independence Day (ID4) (1996),3.438228438228438,Independence Day (ID4) (1996),429.0
744,Indian Summer (1996),3.25,Indian Summer (1996),20.0
745,"Indian in the Cupboard, The (1995)",2.8205128205128207,"Indian in the Cupboard, The (1995)",39.0
746,Indiana Jones and the Last Crusade (1989),3.930513595166163,Indiana Jones and the Last Crusade (1989),331.0
747,Infinity (1996),2.6666666666666665,Infinity (1996),6.0
748,"Inkwell, The (1994)",3.333333333333333,"Inkwell, The (1994)",3.0
749,"Innocent Sleep, The (1995)",2.0,"Innocent Sleep, The (1995)",2.0
750,"Innocents, The (1961)",4.25,"Innocents, The (1961)",4.0
751,"Inspector General, The (1949)",3.7222222222222223,"Inspector General, The (1949)",18.0
752,Interview with the Vampire (1994),3.1824817518248176,Interview with the Vampire (1994),137.0
753,Intimate Relations (1996),3.0,Intimate Relations (1996),2.0
754,Inventing the Abbotts (1997),3.1304347826086962,Inventing the Abbotts (1997),23.0
755,"Invitation, The (Zaproszenie) (1986)",1.0,"Invitation, The (Zaproszenie) (1986)",1.0
756,"Island of Dr. Moreau, The (1996)",2.1578947368421053,"Island of Dr. Moreau, The (1996)",57.0
757,It Could Happen to You (1994),3.652173913043478,It Could Happen to You (1994),46.0
758,It Happened One Night (1934),4.012345679012347,It Happened One Night (1934),81.0
759,It Takes Two (1995),2.6666666666666665,It Takes Two (1995),3.0
760,It's My Party (1995),3.2857142857142856,It's My Party (1995),21.0
761,It's a Wonderful Life (1946),4.121212121212121,It's a Wonderful Life (1946),231.0
762,JLG/JLG - autoportrait de décembre (1994),1.0,JLG/JLG - autoportrait de décembre (1994),1.0
763,Jack (1996),3.1428571428571432,Jack (1996),70.0
764,Jack and Sarah (1995),2.142857142857143,Jack and Sarah (1995),7.0
765,"Jackal, The (1997)",3.1494252873563218,"Jackal, The (1997)",87.0
766,Jackie Brown (1997),3.6428571428571432,Jackie Brown (1997),126.0
767,Jackie Chan's First Strike (1996),3.2551724137931037,Jackie Chan's First Strike (1996),145.0
768,Jade (1995),2.294117647058824,Jade (1995),17.0
769,James and the Giant Peach (1996),3.126984126984127,James and the Giant Peach (1996),126.0
770,Jane Eyre (1996),3.4761904761904763,Jane Eyre (1996),63.0
771,Jason's Lyric (1994),3.0,Jason's Lyric (1994),8.0
772,Jaws (1975),3.775,Jaws (1975),280.0
773,Jaws 2 (1978),2.6666666666666665,Jaws 2 (1978),66.0
774,Jaws 3-D (1983),1.9375,Jaws 3-D (1983),16.0
775,Jean de Florette (1986),4.109375,Jean de Florette (1986),64.0
776,Jefferson in Paris (1995),2.0,Jefferson in Paris (1995),5.0
777,Jeffrey (1995),3.5294117647058822,Jeffrey (1995),34.0
778,"Jerky Boys, The (1994)",2.6666666666666665,"Jerky Boys, The (1994)",3.0
779,Jerry Maguire (1996),3.7109375,Jerry Maguire (1996),384.0
780,Jimmy Hollywood (1994),2.875,Jimmy Hollywood (1994),8.0
781,Jingle All the Way (1996),2.1111111111111107,Jingle All the Way (1996),18.0
782,Joe's Apartment (1996),2.2444444444444445,Joe's Apartment (1996),45.0
783,Johnny 100 Pesos (1993),1.5,Johnny 100 Pesos (1993),2.0
784,Johnny Mnemonic (1995),2.6341463414634148,Johnny Mnemonic (1995),41.0
785,Johns (1996),3.0,Johns (1996),1.0
786,"Journey of August King, The (1995)",2.0,"Journey of August King, The (1995)",4.0
787,"Joy Luck Club, The (1993)",3.6666666666666665,"Joy Luck Club, The (1993)",3.0
788,Jude (1996),3.0,Jude (1996),23.0
789,Judge Dredd (1995),2.8974358974358974,Judge Dredd (1995),39.0
790,Judgment Night (1993),2.68,Judgment Night (1993),25.0
791,Jumanji (1995),3.3125,Jumanji (1995),96.0
792,"Jungle Book, The (1994)",3.5647058823529414,"Jungle Book, The (1994)",85.0
793,Jungle2Jungle (1997),2.4393939393939394,Jungle2Jungle (1997),132.0
794,Junior (1994),3.0222222222222217,Junior (1994),45.0
795,Jupiter's Wife (1994),4.0,Jupiter's Wife (1994),1.0
796,Jurassic Park (1993),3.7203065134099615,Jurassic Park (1993),261.0
797,"Juror, The (1996)",2.817073170731707,"Juror, The (1996)",82.0
798,Jury Duty (1995),2.0,Jury Duty (1995),14.0
799,Just Cause (1995),3.1428571428571432,Just Cause (1995),28.0
800,Kalifornia (1993),3.2203389830508478,Kalifornia (1993),59.0
801,Kama Sutra: A Tale of Love (1996),3.3181818181818183,Kama Sutra: A Tale of Love (1996),22.0
802,Kansas City (1996),2.260869565217391,Kansas City (1996),23.0
803,Kaspar Hauser (1993),4.25,Kaspar Hauser (1993),8.0
804,Kazaam (1996),1.8,Kazaam (1996),10.0
805,Keys to Tulsa (1997),2.24,Keys to Tulsa (1997),25.0
806,Kicked in the Head (1997),2.571428571428572,Kicked in the Head (1997),7.0
807,Kicking and Screaming (1995),2.9230769230769234,Kicking and Screaming (1995),13.0
808,"Kid in King Arthur's Court, A (1995)",2.727272727272727,"Kid in King Arthur's Court, A (1995)",22.0
809,Kids (1995),3.0612244897959178,Kids (1995),49.0
810,Kids in the Hall: Brain Candy (1996),3.0769230769230766,Kids in the Hall: Brain Candy (1996),65.0
811,Kika (1993),2.0,Kika (1993),2.0
812,Killer (Bulletproof Heart) (1994),2.5,Killer (Bulletproof Heart) (1994),4.0
813,Killer: A Journal of Murder (1995),4.0,Killer: A Journal of Murder (1995),1.0
814,"Killing Fields, The (1984)",4.132231404958676,"Killing Fields, The (1984)",121.0
815,Killing Zoe (1994),3.475,Killing Zoe (1994),40.0
816,Kim (1950),3.2857142857142856,Kim (1950),7.0
817,King of New York (1990),1.0,King of New York (1990),1.0
818,King of the Hill (1993),3.5,King of the Hill (1993),4.0
819,Kingpin (1996),3.1296296296296298,Kingpin (1996),162.0
820,"Kiss Me, Guido (1997)",3.161290322580645,"Kiss Me, Guido (1997)",31.0
821,Kiss of Death (1995),2.85,Kiss of Death (1995),20.0
822,Kiss the Girls (1997),3.4615384615384617,Kiss the Girls (1997),143.0
823,Kissed (1996),3.0,Kissed (1996),6.0
824,Kolya (1996),3.991452991452992,Kolya (1996),117.0
825,Koyaanisqatsi (1983),3.4905660377358485,Koyaanisqatsi (1983),53.0
826,Kull the Conqueror (1997),2.63768115942029,Kull the Conqueror (1997),69.0
827,Kundun (1997),3.690476190476191,Kundun (1997),42.0
828,L.A. Confidential (1997),4.161616161616162,L.A. Confidential (1997),297.0
829,Lady of Burlesque (1943),4.0,Lady of Burlesque (1943),1.0
830,Ladybird Ladybird (1994),2.75,Ladybird Ladybird (1994),4.0
831,Lamerica (1994),3.75,Lamerica (1994),4.0
832,Land Before Time III: The Time of the Great Giving (1995) (V),1.6666666666666667,Land Before Time III: The Time of the Great Giving (1995) (V),6.0
833,Land and Freedom (Tierra y libertad) (1995),3.0,Land and Freedom (Tierra y libertad) (1995),1.0
834,Larger Than Life (1996),2.333333333333333,Larger Than Life (1996),9.0
835,Lashou shentan (1992),1.0,Lashou shentan (1992),1.0
836,Lassie (1994),2.2857142857142856,Lassie (1994),7.0
837,Last Action Hero (1993),2.7457627118644066,Last Action Hero (1993),59.0
838,Last Dance (1996),3.111111111111111,Last Dance (1996),9.0
839,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",3.0,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",4.0
840,Last Man Standing (1996),2.660377358490566,Last Man Standing (1996),53.0
841,Last Summer in the Hamptons (1995),2.333333333333333,Last Summer in the Hamptons (1995),3.0
842,"Last Supper, The (1995)",3.4482758620689653,"Last Supper, The (1995)",58.0
843,"Last Time I Committed Suicide, The (1997)",2.2857142857142856,"Last Time I Committed Suicide, The (1997)",7.0
844,"Last Time I Saw Paris, The (1954)",3.6666666666666665,"Last Time I Saw Paris, The (1954)",3.0
845,"Last of the Mohicans, The (1992)",3.546875,"Last of the Mohicans, The (1992)",128.0
846,Late Bloomers (1996),3.4,Late Bloomers (1996),5.0
847,Laura (1944),4.1,Laura (1944),40.0
848,Lawnmower Man 2: Beyond Cyberspace (1996),1.7142857142857142,Lawnmower Man 2: Beyond Cyberspace (1996),21.0
849,"Lawnmower Man, The (1992)",2.4461538461538463,"Lawnmower Man, The (1992)",65.0
850,Lawrence of Arabia (1962),4.23121387283237,Lawrence of Arabia (1962),173.0
851,"Lay of the Land, The (1997)",2.5,"Lay of the Land, The (1997)",4.0
852,"Leading Man, The (1996)",3.75,"Leading Man, The (1996)",4.0
853,Leave It to Beaver (1997),1.8409090909090908,Leave It to Beaver (1997),44.0
854,Leaving Las Vegas (1995),3.697986577181208,Leaving Las Vegas (1995),298.0
855,Legal Deceit (1997),3.4,Legal Deceit (1997),5.0
856,Legends of the Fall (1994),3.45679012345679,Legends of the Fall (1994),81.0
857,"Leopard Son, The (1996)",1.0,"Leopard Son, The (1996)",1.0
858,"Letter From Death Row, A (1998)",4.333333333333333,"Letter From Death Row, A (1998)",3.0
859,Liar Liar (1997),3.156701030927835,Liar Liar (1997),485.0
860,Liebelei (1933),1.0,Liebelei (1933),1.0
861,"Life Less Ordinary, A (1997)",3.0754716981132075,"Life Less Ordinary, A (1997)",53.0
862,Life with Mikey (1993),2.2857142857142856,Life with Mikey (1993),7.0
863,Lightning Jack (1994),3.0,Lightning Jack (1994),10.0
864,Like Water For Chocolate (Como agua para chocolate) (1992),3.8040540540540535,Like Water For Chocolate (Como agua para chocolate) (1992),148.0
865,"Line King: Al Hirschfeld, The (1996)",3.0,"Line King: Al Hirschfeld, The (1996)",2.0
866,"Lion King, The (1994)",3.7818181818181817,"Lion King, The (1994)",220.0
867,Little Big League (1994),2.875,Little Big League (1994),16.0
868,Little Buddha (1993),3.3181818181818183,Little Buddha (1993),22.0
869,Little City (1998),3.5,Little City (1998),2.0
870,Little Lord Fauntleroy (1936),3.1666666666666665,Little Lord Fauntleroy (1936),12.0
871,Little Odessa (1994),2.6,Little Odessa (1994),10.0
872,"Little Princess, A (1995)",3.6585365853658534,"Little Princess, A (1995)",41.0
873,"Little Princess, The (1939)",3.555555555555556,"Little Princess, The (1939)",9.0
874,"Little Rascals, The (1994)",2.7222222222222223,"Little Rascals, The (1994)",18.0
875,Little Women (1994),3.6764705882352944,Little Women (1994),102.0
876,Live Nude Girls (1995),3.0869565217391304,Live Nude Girls (1995),23.0
877,Living in Oblivion (1995),3.7407407407407414,Living in Oblivion (1995),27.0
878,Loaded (1994),2.4,Loaded (1994),5.0
879,Local Hero (1983),3.968253968253968,Local Hero (1983),63.0
880,Loch Ness (1995),2.5,Loch Ness (1995),4.0
881,"Locusts, The (1997)",2.0,"Locusts, The (1997)",5.0
882,Lone Star (1996),4.053475935828877,Lone Star (1996),187.0
883,"Long Kiss Goodnight, The (1996)",3.4702702702702704,"Long Kiss Goodnight, The (1996)",185.0
884,Looking for Richard (1996),3.727272727272727,Looking for Richard (1996),55.0
885,Lord of Illusions (1995),2.4166666666666665,Lord of Illusions (1995),24.0
886,Losing Chase (1996),3.25,Losing Chase (1996),8.0
887,Losing Isaiah (1995),3.0,Losing Isaiah (1995),12.0
888,Lost Highway (1997),3.136,Lost Highway (1997),125.0
889,Lost Horizon (1937),3.941176470588236,Lost Horizon (1937),34.0
890,"Lost World: Jurassic Park, The (1997)",2.9430379746835444,"Lost World: Jurassic Park, The (1997)",158.0
891,Lost in Space (1998),3.1666666666666665,Lost in Space (1998),18.0
892,Lotto Land (1995),1.0,Lotto Land (1995),1.0
893,Love & Human Remains (1993),3.1666666666666665,Love & Human Remains (1993),12.0
894,Love Affair (1994),2.833333333333333,Love Affair (1994),12.0
895,"Love Bug, The (1969)",2.78,"Love Bug, The (1969)",50.0
896,Love Is All There Is (1996),3.0,Love Is All There Is (1996),1.0
897,Love Jones (1997),3.095238095238096,Love Jones (1997),42.0
898,Love Serenade (1996),3.0,Love Serenade (1996),4.0
899,Love and Death on Long Island (1997),2.5,Love and Death on Long Island (1997),2.0
900,Love and Other Catastrophes (1996),2.8571428571428568,Love and Other Catastrophes (1996),7.0
901,Love and a .45 (1994),3.125,Love and a .45 (1994),8.0
902,Love in the Afternoon (1957),3.9,Love in the Afternoon (1957),10.0
903,Love! Valour! Compassion! (1997),3.615384615384616,Love! Valour! Compassion! (1997),26.0
904,Lover's Knot (1996),2.0,Lover's Knot (1996),3.0
905,"Low Down Dirty Shame, A (1994)",2.5,"Low Down Dirty Shame, A (1994)",10.0
906,"Low Life, The (1994)",1.0,"Low Life, The (1994)",1.0
907,M (1931),4.0,M (1931),44.0
908,M*A*S*H (1970),3.9126213592233015,M*A*S*H (1970),206.0
909,M. Butterfly (1993),3.2222222222222223,M. Butterfly (1993),18.0
910,MURDER and murder (1996),2.0,MURDER and murder (1996),1.0
911,Ma vie en rose (My Life in Pink) (1997),3.45,Ma vie en rose (My Life in Pink) (1997),20.0
912,"Machine, The (1994)",1.5,"Machine, The (1994)",2.0
913,Mad City (1997),3.2553191489361697,Mad City (1997),47.0
914,Mad Dog Time (1996),3.0,Mad Dog Time (1996),1.0
915,Mad Love (1995),2.1538461538461537,Mad Love (1995),13.0
916,Madame Butterfly (1995),3.571428571428572,Madame Butterfly (1995),7.0
917,Made in America (1993),2.5185185185185186,Made in America (1993),27.0
918,"Madness of King George, The (1994)",3.7692307692307687,"Madness of King George, The (1994)",91.0
919,Madonna: Truth or Dare (1991),2.4705882352941178,Madonna: Truth or Dare (1991),17.0
920,"Magic Hour, The (1998)",3.6,"Magic Hour, The (1998)",5.0
921,"Magnificent Seven, The (1954)",3.9421487603305785,"Magnificent Seven, The (1954)",121.0
922,Major Payne (1994),2.473684210526316,Major Payne (1994),19.0
923,Malice (1993),3.1739130434782608,Malice (1993),46.0
924,Mallrats (1995),3.4444444444444446,Mallrats (1995),54.0
925,"Maltese Falcon, The (1941)",4.210144927536232,"Maltese Falcon, The (1941)",138.0
926,Mamma Roma (1962),4.0,Mamma Roma (1962),1.0
927,"Man Who Knew Too Little, The (1997)",2.9230769230769234,"Man Who Knew Too Little, The (1997)",52.0
928,"Man Who Would Be King, The (1975)",4.025,"Man Who Would Be King, The (1975)",80.0
929,"Man Without a Face, The (1993)",3.544117647058824,"Man Without a Face, The (1993)",68.0
930,"Man from Down Under, The (1943)",1.0,"Man from Down Under, The (1943)",1.0
931,"Man in the Iron Mask, The (1998)",3.4166666666666665,"Man in the Iron Mask, The (1998)",12.0
932,"Man of No Importance, A (1994)",3.4285714285714284,"Man of No Importance, A (1994)",7.0
933,Man of the House (1995),2.1111111111111107,Man of the House (1995),9.0
934,Man of the Year (1995),3.111111111111111,Man of the Year (1995),9.0
935,"Manchurian Candidate, The (1962)",4.2595419847328255,"Manchurian Candidate, The (1962)",131.0
936,Manhattan (1979),3.7692307692307687,Manhattan (1979),91.0
937,Manhattan Murder Mystery (1993),3.6296296296296298,Manhattan Murder Mystery (1993),27.0
938,Manny & Lo (1996),3.1538461538461537,Manny & Lo (1996),13.0
939,Manon of the Spring (Manon des sources) (1986),4.120689655172414,Manon of the Spring (Manon des sources) (1986),58.0
940,Margaret's Museum (1995),4.0,Margaret's Museum (1995),6.0
941,"Mark of Zorro, The (1940)",3.615384615384616,"Mark of Zorro, The (1940)",13.0
942,Marked for Death (1990),2.5,Marked for Death (1990),22.0
943,Marlene Dietrich: Shadow and Light (1996) ,5.0,Marlene Dietrich: Shadow and Light (1996) ,1.0
944,Mars Attacks! (1996),2.8479262672811068,Mars Attacks! (1996),217.0
945,Marvin's Room (1996),3.58974358974359,Marvin's Room (1996),78.0
946,Mary Poppins (1964),3.724719101123596,Mary Poppins (1964),178.0
947,Mary Reilly (1996),2.8205128205128207,Mary Reilly (1996),39.0
948,Mary Shelley's Frankenstein (1994),3.067796610169492,Mary Shelley's Frankenstein (1994),59.0
949,"Mask, The (1994)",3.1937984496124034,"Mask, The (1994)",129.0
950,Mat' i syn (1997),1.0,Mat' i syn (1997),1.0
951,"MatchMaker, The (1997)",3.1764705882352944,"MatchMaker, The (1997)",51.0
952,Matilda (1996),3.2105263157894735,Matilda (1996),95.0
953,Maverick (1994),3.46875,Maverick (1994),128.0
954,Maximum Risk (1996),2.8,Maximum Risk (1996),20.0
955,Maya Lin: A Strong Clear Vision (1994),4.5,Maya Lin: A Strong Clear Vision (1994),4.0
956,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",3.5,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",8.0
957,McHale's Navy (1997),2.188405797101449,McHale's Navy (1997),69.0
958,Mediterraneo (1991),3.6764705882352944,Mediterraneo (1991),34.0
959,Meet John Doe (1941),3.92,Meet John Doe (1941),25.0
960,Meet Me in St. Louis (1944),3.3548387096774195,Meet Me in St. Louis (1944),31.0
961,Meet Wally Sparks (1997),2.142857142857143,Meet Wally Sparks (1997),7.0
962,Men With Guns (1997),3.5,Men With Guns (1997),2.0
963,Men in Black (1997),3.745874587458746,Men in Black (1997),303.0
964,Men of Means (1998),2.0,Men of Means (1998),2.0
965,Menace II Society (1993),3.46,Menace II Society (1993),50.0
966,Mercury Rising (1998),3.4285714285714284,Mercury Rising (1998),7.0
967,Metisse (Café au Lait) (1993),2.333333333333333,Metisse (Café au Lait) (1993),6.0
968,Metro (1997),2.9166666666666665,Metro (1997),36.0
969,Miami Rhapsody (1995),2.6,Miami Rhapsody (1995),15.0
970,Michael (1996),3.3193277310924367,Michael (1996),119.0
971,Michael Collins (1996),3.4565217391304346,Michael Collins (1996),92.0
972,Microcosmos: Le peuple de l'herbe (1996),3.75,Microcosmos: Le peuple de l'herbe (1996),24.0
973,Midnight Dancers (Sibak) (1994),2.8,Midnight Dancers (Sibak) (1994),5.0
974,Midnight in the Garden of Good and Evil (1997),3.1625,Midnight in the Garden of Good and Evil (1997),80.0
975,Mighty Aphrodite (1995),3.4184782608695654,Mighty Aphrodite (1995),184.0
976,Mighty Morphin Power Rangers: The Movie (1995),2.272727272727273,Mighty Morphin Power Rangers: The Movie (1995),11.0
977,"Mighty, The (1998)",1.0,"Mighty, The (1998)",3.0
978,Milk Money (1994),2.72972972972973,Milk Money (1994),37.0
979,Mille bolle blu (1993),1.0,Mille bolle blu (1993),1.0
980,Miller's Crossing (1990),3.651685393258427,Miller's Crossing (1990),89.0
981,Mimic (1997),2.7425742574257432,Mimic (1997),101.0
982,Mina Tannenbaum (1994),3.6666666666666665,Mina Tannenbaum (1994),6.0
983,Miracle on 34th Street (1994),3.722772277227723,Miracle on 34th Street (1994),101.0
984,Mirage (1995),3.0,Mirage (1995),1.0
985,"Mirror Has Two Faces, The (1996)",3.363636363636364,"Mirror Has Two Faces, The (1996)",66.0
986,Mission: Impossible (1996),3.3139534883720936,Mission: Impossible (1996),344.0
987,"Misérables, Les (1995)",3.6190476190476186,"Misérables, Les (1995)",21.0
988,Mixed Nuts (1994),2.533333333333333,Mixed Nuts (1994),15.0
989,"Modern Affair, A (1995)",1.0,"Modern Affair, A (1995)",1.0
990,Moll Flanders (1996),3.5,Moll Flanders (1996),42.0
991,Mondo (1996),3.0,Mondo (1996),3.0
992,Money Talks (1997),2.815217391304348,Money Talks (1997),92.0
993,Money Train (1995),2.511627906976744,Money Train (1995),43.0
994,"Month by the Lake, A (1995)",3.333333333333333,"Month by the Lake, A (1995)",9.0
995,Monty Python and the Holy Grail (1974),4.066455696202532,Monty Python and the Holy Grail (1974),316.0
996,Monty Python's Life of Brian (1979),3.747126436781609,Monty Python's Life of Brian (1979),174.0
997,Moonlight and Valentino (1995),2.571428571428572,Moonlight and Valentino (1995),7.0
998,Mortal Kombat (1995),2.877551020408163,Mortal Kombat (1995),49.0
999,Mortal Kombat: Annihilation (1997),1.9534883720930232,Mortal Kombat: Annihilation (1997),43.0
1000,"Mostro, Il (1994)",1.0,"Mostro, Il (1994)",1.0
1001,Mother (1996),3.1301775147929,Mother (1996),169.0
1002,Mother Night (1996),3.1818181818181817,Mother Night (1996),22.0
1003,Mouse Hunt (1997),2.477272727272727,Mouse Hunt (1997),44.0
1004,Mr. Holland's Opus (1995),3.778156996587031,Mr. Holland's Opus (1995),293.0
1005,Mr. Jones (1993),2.5,Mr. Jones (1993),2.0
1006,Mr. Magoo (1997),1.9166666666666667,Mr. Magoo (1997),12.0
1007,Mr. Smith Goes to Washington (1939),4.123809523809523,Mr. Smith Goes to Washington (1939),105.0
1008,Mr. Wonderful (1993),3.0,Mr. Wonderful (1993),4.0
1009,Mr. Wrong (1996),2.3043478260869565,Mr. Wrong (1996),23.0
1010,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.9479166666666665,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",96.0
1011,Mrs. Dalloway (1997),3.6,Mrs. Dalloway (1997),15.0
1012,Mrs. Doubtfire (1993),3.411458333333333,Mrs. Doubtfire (1993),192.0
1013,Mrs. Parker and the Vicious Circle (1994),3.272727272727273,Mrs. Parker and the Vicious Circle (1994),22.0
1014,Mrs. Winterbourne (1996),3.0454545454545454,Mrs. Winterbourne (1996),22.0
1015,Much Ado About Nothing (1993),4.0625,Much Ado About Nothing (1993),176.0
1016,Mulholland Falls (1996),2.8780487804878048,Mulholland Falls (1996),82.0
1017,Multiplicity (1996),2.8358208955223883,Multiplicity (1996),134.0
1018,Muppet Treasure Island (1996),2.761904761904762,Muppet Treasure Island (1996),84.0
1019,Murder at 1600 (1997),3.0871559633027523,Murder at 1600 (1997),218.0
1020,Murder in the First (1995),3.6,Murder in the First (1995),60.0
1021,"Murder, My Sweet (1944)",3.555555555555556,"Murder, My Sweet (1944)",9.0
1022,Muriel's Wedding (1994),3.55,Muriel's Wedding (1994),100.0
1023,Mute Witness (1994),2.9411764705882355,Mute Witness (1994),17.0
1024,My Best Friend's Wedding (1997),3.36046511627907,My Best Friend's Wedding (1997),172.0
1025,My Crazy Life (Mi vida loca) (1993),3.1818181818181817,My Crazy Life (Mi vida loca) (1993),11.0
1026,My Fair Lady (1964),3.8160000000000003,My Fair Lady (1964),125.0
1027,My Family (1995),3.6666666666666665,My Family (1995),21.0
1028,My Favorite Season (1993),3.6666666666666665,My Favorite Season (1993),3.0
1029,My Favorite Year (1982),3.532258064516129,My Favorite Year (1982),62.0
1030,My Fellow Americans (1996),3.1627906976744184,My Fellow Americans (1996),86.0
1031,My Left Foot (1989),3.851239669421488,My Left Foot (1989),121.0
1032,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2.0,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2.0
1033,My Life as a Dog (Mitt liv som hund) (1985),3.9784946236559136,My Life as a Dog (Mitt liv som hund) (1985),93.0
1034,My Man Godfrey (1936),4.037037037037037,My Man Godfrey (1936),27.0
1035,My Own Private Idaho (1991),3.633333333333333,My Own Private Idaho (1991),30.0
1036,Mystery Science Theater 3000: The Movie (1996),3.4307692307692306,Mystery Science Theater 3000: The Movie (1996),130.0
1037,Nadja (1994),2.25,Nadja (1994),8.0
1038,Naked (1993),3.24,Naked (1993),25.0
1039,Naked Gun 33 1/3: The Final Insult (1994),2.782608695652174,Naked Gun 33 1/3: The Final Insult (1994),69.0
1040,Naked in New York (1994),1.5,Naked in New York (1994),2.0
1041,National Lampoon's Senior Trip (1995),2.4285714285714284,National Lampoon's Senior Trip (1995),7.0
1042,Natural Born Killers (1994),2.953125,Natural Born Killers (1994),128.0
1043,Nell (1994),3.4814814814814814,Nell (1994),81.0
1044,Nelly & Monsieur Arnaud (1995),3.6666666666666665,Nelly & Monsieur Arnaud (1995),3.0
1045,Nemesis 2: Nebula (1995),2.0,Nemesis 2: Nebula (1995),1.0
1046,"Neon Bible, The (1995)",1.75,"Neon Bible, The (1995)",4.0
1047,"Net, The (1995)",3.0083333333333333,"Net, The (1995)",120.0
1048,"NeverEnding Story III, The (1994)",2.1666666666666665,"NeverEnding Story III, The (1994)",12.0
1049,"New Age, The (1994)",1.0,"New Age, The (1994)",1.0
1050,New Jersey Drive (1995),3.0,New Jersey Drive (1995),2.0
1051,New York Cop (1996),2.5,New York Cop (1996),2.0
1052,"Newton Boys, The (1998)",3.0,"Newton Boys, The (1998)",4.0
1053,"Next Karate Kid, The (1994)",2.4444444444444446,"Next Karate Kid, The (1994)",9.0
1054,"Next Step, The (1995)",3.0,"Next Step, The (1995)",1.0
1055,"Niagara, Niagara (1997)",2.0,"Niagara, Niagara (1997)",1.0
1056,Nick of Time (1995),3.0454545454545454,Nick of Time (1995),44.0
1057,Nico Icon (1995),4.0,Nico Icon (1995),2.0
1058,Night Falls on Manhattan (1997),3.375,Night Falls on Manhattan (1997),32.0
1059,Night Flier (1997),3.7142857142857135,Night Flier (1997),7.0
1060,Night of the Living Dead (1968),3.421875,Night of the Living Dead (1968),64.0
1061,Night on Earth (1991),3.8333333333333335,Night on Earth (1991),36.0
1062,"Nightmare Before Christmas, The (1993)",3.5874125874125875,"Nightmare Before Christmas, The (1993)",143.0
1063,"Nightmare on Elm Street, A (1984)",3.1711711711711716,"Nightmare on Elm Street, A (1984)",111.0
1064,Nightwatch (1997),3.0,Nightwatch (1997),3.0
1065,Nikita (La Femme Nikita) (1990),4.007874015748032,Nikita (La Femme Nikita) (1990),127.0
1066,Nil By Mouth (1997),2.0,Nil By Mouth (1997),4.0
1067,Nina Takes a Lover (1994),2.833333333333333,Nina Takes a Lover (1994),6.0
1068,Nine Months (1995),2.931034482758621,Nine Months (1995),58.0
1069,Ninotchka (1939),3.7692307692307687,Ninotchka (1939),26.0
1070,Nixon (1995),3.1222222222222222,Nixon (1995),90.0
1071,No Escape (1994),2.4,No Escape (1994),5.0
1072,Nobody Loves Me (Keiner liebt mich) (1994),1.0,Nobody Loves Me (Keiner liebt mich) (1994),1.0
1073,Nobody's Fool (1994),3.608695652173913,Nobody's Fool (1994),46.0
1074,Normal Life (1996),3.0,Normal Life (1996),1.0
1075,North (1994),2.7142857142857144,North (1994),7.0
1076,North by Northwest (1959),4.284916201117318,North by Northwest (1959),179.0
1077,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.555555555555556,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",54.0
1078,Nosferatu a Venezia (1986),2.333333333333333,Nosferatu a Venezia (1986),3.0
1079,Nothing Personal (1995),2.0,Nothing Personal (1995),1.0
1080,Nothing to Lose (1994),3.2857142857142856,Nothing to Lose (1994),7.0
1081,Notorious (1946),4.115384615384615,Notorious (1946),52.0
1082,Now and Then (1995),3.458333333333333,Now and Then (1995),24.0
1083,Nowhere (1997),2.333333333333333,Nowhere (1997),3.0
1084,"Nutty Professor, The (1996)",2.914110429447853,"Nutty Professor, The (1996)",163.0
1085,Nénette et Boni (1996),3.5,Nénette et Boni (1996),6.0
1086,"Object of My Affection, The (1998)",4.0,"Object of My Affection, The (1998)",1.0
1087,Of Human Bondage (1934),3.2,Of Human Bondage (1934),5.0
1088,Of Love and Shadows (1994),3.1666666666666665,Of Love and Shadows (1994),6.0
1089,Office Killer (1997),1.0,Office Killer (1997),1.0
1090,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",2.6,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",5.0
1091,"Old Man and the Sea, The (1958)",3.34375,"Old Man and the Sea, The (1958)",32.0
1092,Old Yeller (1957),3.484375,Old Yeller (1957),64.0
1093,Oliver & Company (1988),2.772727272727273,Oliver & Company (1988),22.0
